SYMBOL,DATE,OPEN,HIGH,LOW,VOLUME,CLOSE
PPL,7/17/2012,195.39,197.45,194.65,677555,196.07
PPL,7/18/2012,196.2,197.99,195.4,652126,195.85
PPL,7/19/2012,196.7,197,195.52,257027,195.89
PPL,7/20/2012,196.5,196.75,194.8,335486,195.09
PPL,7/23/2012,195.21,195.55,194.55,27100,194.97
PPL,7/24/2012,195,195,193.83,224600,194.01
PPL,7/25/2012,194.01,196.25,193.5,479900,193.97
PPL,7/26/2012,194.75,195.55,193.81,361300,193.98
PPL,7/27/2012,194.25,194.5,192.99,140400,193.99
PPL,7/30/2012,194.3,195.5,194.05,205000,194.48
PPL,7/31/2012,195.25,196,195,215400,195.97
PPL,8/1/2012,196.05,198.75,195.9,531400,198.31
PPL,8/2/2012,198.85,201,198.5,904800,199.74
PPL,8/3/2012,199.6,199.6,197,186400,197.99
PPL,8/6/2012,197.98,200.85,197.98,465400,199.17
PPL,8/7/2012,199,202.3,199,947900,200.07
PPL,8/8/2012,200.01,204.25,200.01,1239700,203.51
PPL,8/9/2012,204.48,207.4,204.25,1566900,206.7
PPL,8/10/2012,208,208.5,204.5,760000,205.09
PPL,8/13/2012,215.34,215.34,213.25,1895400,215.34
PPL,8/15/2012,220,220.8,218.1,1742300,218.58
PPL,8/16/2012,218.55,219.5,217.3,426200,219.15
PPL,8/23/2012,219.75,221.49,219.05,1089000,219.84
PPL,8/24/2012,220.01,220.01,217.5,682700,217.81
PPL,8/27/2012,218.5,220.2,217.78,1029000,219.89
PPL,8/28/2012,220.25,224.99,219.5,3205200,222.44
PPL,8/29/2012,223,223,220.99,988900,222.07
PPL,8/30/2012,222.7,224.7,220.8,1982600,223.15
PPL,8/31/2012,224,225,222.6,1904100,223
PPL,9/3/2012,223.89,224.5,222.75,371700,223.02
PPL,9/4/2012,223.1,225.7,222.45,1101600,225.05
PPL,9/5/2012,225.05,227.95,224.01,1395700,224.57
PPL,9/6/2012,225.89,226.4,222,1097800,222.55
PPL,9/7/2012,223.45,224.5,222.02,666800,222.81
PPL,9/10/2012,223.44,224.98,222.8,772000,223.5
PPL,9/11/2012,223.7,225.4,223.55,886900,224.76
PPL,9/12/2012,225,226.88,224.77,1309600,225.36
PPL,9/13/2012,225.95,226.15,224.45,263400,224.62
PPL,9/14/2012,225,226.25,224.6,360100,224.97
PPL,9/17/2012,225.15,225.95,224.5,465300,225.02
PPL,9/18/2012,225.1,229.75,225,1510600,229.17
PPL,9/19/2012,181.21,181.97,180.01,2162900,180.99
PPL,9/20/2012,180.96,182.15,178.7,829900,179.52
PPL,9/24/2012,180.49,180.5,177.5,291900,178.08
PPL,9/25/2012,178.8,178.8,177.05,314000,177.86
PPL,9/26/2012,177.9,177.99,176.5,238400,177.12
PPL,9/27/2012,177.25,177.99,173.8,766800,175.11
PPL,9/28/2012,175.5,176.2,175.06,401500,175.93
PPL,10/1/2012,176.03,176.89,175.25,374000,176.52
PPL,10/2/2012,176.55,180.1,176.55,1118600,177.47
PPL,10/3/2012,177.55,181.01,177.5,2279900,180.01
PPL,10/4/2012,180.8,182.9,180.11,1057700,182.07
PPL,10/5/2012,181.4,181.75,179.99,591700,180.64
PPL,10/8/2012,180.5,180.79,178.5,524200,178.69
PPL,10/9/2012,179,179,176.23,464000,177.18
PPL,10/10/2012,177.26,178.98,177,375800,177.1
PPL,10/11/2012,177.65,178,176.4,205700,176.96
PPL,10/12/2012,177.49,177.55,174.52,1270300,174.98
PPL,10/15/2012,175.7,175.99,174.02,486300,174.49
PPL,10/16/2012,175.5,175.5,172.9,248600,173.2
PPL,10/17/2012,174,174,171.75,386300,173.08
PPL,10/18/2012,173.25,174.75,171.5,617400,172.56
PPL,10/19/2012,172.7,175,172.5,491400,173
PPL,10/22/2012,173.5,174,173.06,134700,173.53
PPL,10/23/2012,174,174.33,173.41,135100,173.51
PPL,10/24/2012,173.51,174,171.85,514200,172.14
PPL,10/25/2012,172.16,172.4,171,588100,171.97
PPL,10/30/2012,171.51,172,170.75,229500,171.65
PPL,10/31/2012,170.1,173.5,170.1,656700,172.98
PPL,11/1/2012,173,174.9,173,417900,174.19
PPL,11/2/2012,174.6,176.4,174,843400,176.15
PPL,11/5/2012,176.5,179.7,176.15,1056500,177.61
PPL,11/6/2012,177.31,177.6,175.95,344100,176.81
PPL,11/7/2012,177.5,179.45,177.5,847300,179
PPL,11/8/2012,179,179.5,177.7,323200,178.62
PPL,11/12/2012,178.9,179,176.86,327200,177.02
PPL,11/13/2012,176.99,177.99,174.85,446400,175.03
PPL,11/14/2012,175.5,175.7,174,409100,174.76
PPL,11/15/2012,174.76,175.95,174.76,425500,175.67
PPL,11/16/2012,175.35,176.4,175.25,179800,175.68
PPL,11/19/2012,175.61,176.5,175.15,244900,176.09
PPL,11/20/2012,176.55,179.1,176.25,1659600,176.98
PPL,11/21/2012,177.3,178.2,175.75,440300,175.9
PPL,11/22/2012,176,176.65,175.25,530200,175.47
PPL,11/23/2012,176,176,175,428200,175.19
PPL,11/26/2012,175.95,177,174.75,575600,174.96
PPL,11/27/2012,175.61,175.61,174.38,1633900,174.76
PPL,11/28/2012,175,175.9,173.5,1385200,173.59
PPL,11/29/2012,173.61,175,173.61,262900,174.71
PPL,11/30/2012,174.99,176.35,174.18,864700,174.84
PPL,12/3/2012,174.84,175.5,174.5,291800,174.98
PPL,12/4/2012,174.98,177.05,174.5,2250800,176.34
PPL,12/5/2012,176.32,176.99,175.62,442100,175.77
PPL,12/6/2012,176,176.75,175.65,529800,176.36
PPL,12/7/2012,176.4,177.75,175.9,1725400,176.35
PPL,12/10/2012,176.56,177.3,175.01,595300,175.35
PPL,12/11/2012,175.99,176.15,174.36,556100,174.47
PPL,12/12/2012,175,176.45,174.82,591100,175.43
PPL,12/13/2012,175.65,176.5,174.7,555500,176.12
PPL,12/14/2012,176.34,176.6,175.56,120500,175.77
PPL,12/17/2012,175.97,176.2,174.55,247900,175.03
PPL,12/18/2012,175.4,175.9,175,251800,175.14
PPL,12/19/2012,175.22,178.2,175.22,1074100,177.86
PPL,12/20/2012,177.97,178.8,177.5,315400,177.89
PPL,12/21/2012,177.8,178.3,176.42,183000,177.59
PPL,12/24/2012,177.99,178,176.01,449100,176.4
PPL,12/26/2012,176,177.9,176,388600,177.11
PPL,12/27/2012,177.2,177.5,176.5,183300,176.77
PPL,12/28/2012,176.5,176.76,175.9,828600,176.24
PPL,12/31/2012,175.51,178.6,175.51,934600,176.79
PPL,1/1/2013,176.79,177.99,176.25,89900,176.33
PPL,1/2/2013,176.4,177,172,699700,173.86
PPL,1/3/2013,173.95,175,173.5,154500,174.13
PPL,1/4/2013,174.9,175.99,174.9,327600,175.03
PPL,1/7/2013,175,175,173,406400,173.88
PPL,1/8/2013,173.15,175.49,173.1,214900,174.78
PPL,1/9/2013,174.21,176.4,174.21,148100,175.86
PPL,1/10/2013,175.35,175.35,173.52,570400,173.96
PPL,1/11/2013,174,175.3,173.8,178100,174.88
PPL,1/14/2013,174,175.5,173.15,233500,175.02
PPL,1/15/2013,174.5,174.99,170.9,954300,171.14
PPL,1/16/2013,171.8,172.5,170.49,424400,172.15
PPL,1/17/2013,172.5,174.75,172.5,948800,173.09
PPL,1/18/2013,175.25,175.94,174.5,566600,175.37
PPL,1/21/2013,175.5,176.9,175.3,346400,175.69
PPL,1/22/2013,175.99,179.15,175.75,1789000,178.95
PPL,1/23/2013,179,179.35,178,241900,178.48
PPL,1/24/2013,178.75,181.25,178.25,1196900,180.78
PPL,1/28/2013,181.05,182.19,177,1094900,177.36
PPL,1/29/2013,177.99,179.15,177,401800,178.94
PPL,1/30/2013,178.96,179.99,178.3,235300,178.72
PPL,1/31/2013,179.01,179.5,178,901400,179.02
PPL,2/1/2013,179.05,179.89,178.8,279600,179
PPL,2/4/2013,179.1,180.4,176.99,1314700,177.24
